"Gene"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"LAYN"	0.000619816205304555	2.96532590078523e-06	0.497916377878091	4.67320702683137	2.32686631587432	988.405777536503
"TG"	0.000718111574648189	3.4721396371935e-06	0.498500587516894	4.64071009144092	2.31339670707888	58.996345585861
"LRRC8A"	0.000727595534446764	3.55502704127083e-06	0.358963199343589	4.63583311566999	1.66409348682386	4112.62673983985
"RBM20"	0.000786668954841522	3.92373562573642e-06	0.794584239157746	-4.6153816648853	-3.6673095286155	79.2602430181341
"HSPB2-C11orf52"	0.000786668954841522	3.88933175057801e-06	0.310818283767574	-4.61721024788809	-1.43511336504263	189.899319004368
"PAM"	0.000800645764329767	4.03419842572511e-06	0.321437444075777	4.60961267749945	1.48170211723472	9865.60737011638
"HERC6"	0.00082517408107275	4.19978665041098e-06	0.423113070067778	4.60124223331559	1.94684572746368	770.442425364812
"CFL2"	0.000873482564895391	4.51385427905975e-06	0.304306415333351	4.58620036811716	1.39561019402223	1685.20307986374
NA	0.00095518056926106	5.00730856239257e-06	0.701581802671914	4.56448128883674	3.2023570108843	264.409150672674
"ZBTB7C"	0.00108326115295149	5.73387418093216e-06	0.472911819927309	-4.53597216844786	-2.1451148533203	236.658000095761
"UBE2QL1"	0.0011105714395364	5.9349552703238e-06	0.896043662135566	4.52869336801549	4.05790699016564	27.9692603716614
"SCD5"	0.00113972860871033	6.32280223683968e-06	0.329991513342995	4.5152972234034	1.49000976394431	417.325421362694
"LOC102723409"	0.00113972860871033	6.26217665791952e-06	0.339100076659187	-4.51733846399919	-1.53182981943762	130.323435791187
"SPHK1"	0.00113972860871033	6.30981465673308e-06	0.681282824521305	4.51573292937868	3.07649128491097	458.681203742687
"HTR1B"	0.00114323422891269	6.40043593141266e-06	0.839082887426614	-4.51271049900696	-3.78653815562715	15.4079807481016
"PLA2G2A"	0.0012326797656416	7.00383455556641e-06	1.22441779528974	-4.49357194060478	-5.50200944849112	1160.5276829431
"ADCY5"	0.0012326797656416	7.02667618851074e-06	0.626978323225276	-4.49287885203467	-2.816937649103	396.548879457767
"MAP1LC3C"	0.00126114823200551	7.25314282454307e-06	0.816927580937557	4.48612138821588	3.66483629346744	95.9824162003895
"DNAH6"	0.00129676139948321	7.57620583368234e-06	0.493585864059741	-4.47682286462268	-2.20969648187719	54.4099280558521
"MIR4709"	0.00129676139948321	7.58996136708926e-06	0.483800306656992	4.47643541673401	2.16570082734613	552.600340915106
"LILRA5"	0.00136119594430195	8.03637670699441e-06	1.07874961214178	4.46421252457062	4.81576752939902	32.10899941286
"AFF2"	0.00143142664299229	8.52386590136901e-06	1.11020934731627	-4.45158530328554	-4.94219161408332	82.748594772328
"NR2F1"	0.00150204627194655	9.02083978469528e-06	0.51752306610364	-4.43940386526665	-2.29749390002515	378.366496068277
"HR"	0.0015580099642867	9.51553316950349e-06	0.475630137736182	4.42789924061733	2.10604232569676	158.731492587994
