GeneID,GSM4928875,GSM4928876,GSM4928877,GSM4928878,GSM4928879,GSM4928880,GSM4928881
102723413,0.01137,0.01089,0,0,0,0.01008,0
107985940,0.03124,0.05986,0,0,0.02376,0.0277,0.03202
51141,8.713,4.898,2.698,15.57,10.56,7.071,13.25
100506797,0,0.07203,0,0,0,0,0.3083
105373578,0,0,0,0,0,0,0
107985815,0,0,0,0,0,0,0
105373579,0,0,0,0,0,0,0
101927709,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0
8685,0.2668,0.2769,1.974,4.071,0,0.2365,137.8
165257,0,0,0.02402,0,0,0,0
107985941,0,0,0.02887,0,0,0,0
55240,1.863,2.361,3.614,0.6153,1.567,0.9258,2.517
100874111,0.5701,0.355,0.7253,0.1165,0.3035,0.1769,0.4236
105373581,0.3007,0.3522,0.6085,0.09562,0.2414,0.1852,0.4196
130355,2.401,1.175,0.9074,3.684,1.499,2.011,1.131
1622,65.69,38,36.84,69.23,34,52.92,32.45
140738,58.57,43.77,3.867,50.12,41.41,54.21,15.38
6344,2.768,3.699,0.2536,0.8267,1.731,0.6903,0.1884
107105282,0.1761,0.1055,0,3.366,0.7199,0.6832,0.5416
200373,1.303,1.261,0.1716,0.2109,0.9907,0.7974,0.1695
80775,1.395,1.826,0.8992,0.8572,1.041,0.9372,0.6128
101927764,0.1995,0.2836,0.0321,0.08943,0.1468,0.1483,0.1385
5775,4.21,3.047,1.135,2.333,2.887,2.185,1.882
107985817,0,0,0,0,0,0,0
57669,2.234,3.127,3.63,1.762,1.256,1.018,1.354
105373582,0.2392,0.4671,0.3672,0.1429,0.1469,0.09786,0.2168
79134,4.895,5.246,2.767,5.002,6.39,5.307,3.937
105373583,0,0,0,0.03387,0.01575,0.1286,0.1062
5899,41.03,26.44,32.8,59.44,41.94,41.5,40.17
105373584,0,0,0.1391,0.171,0.53,1.05,0.07144
105373989,0.1063,0.781,0,0.3188,1.105,0.597,0.3633
3625,1.874,1.905,0.01428,1.965,4.514,3.741,2.097
84931,0,0,0,0,0,0,0
105373585,0.1069,0.2268,0,0,0.1626,0.1286,0.03131
2736,1.507,2.006,0.5203,0.4696,2.962,2.683,0.6389
105373587,0,0,0,0,0,0,0
105373588,0,0,0,0,0,0,0
29842,1.104,2.846,8.49,0.4292,1.969,0.4376,0.7267
23332,5.056,6.374,3.122,2.428,5.2,3.164,3.18
107985942,0.1765,0.1127,0.05871,0.3367,0.1566,0.1043,0.09046
100151683,0,1.352,0.352,0.2884,0,0,0
254128,6.241,3.78,2.647,6.368,4.06,4.809,3.573
84365,20.08,14.02,8.686,21.24,12.91,16.42,11.65
7247,20.66,19.08,9.242,13.54,14.4,14.02,9.76
105373590,0,0,0.03562,0,0,0,0.03658
101927801,0,0,0.03475,0,0,0.03087,0
105373592,0.02754,0.03693,0,0,0.008375,0.01953,0
105373591,0.005814,0.03342,0.005802,0,0,0,0.01192
105373593,0,0,0,0,0,0,0
107985943,0,0,0,0,0,0,0
105373594,0,0,0,0,0,0,0
105373595,0,0.04843,0,0,0,0.05975,0.03454
105373596,0,0,0,0,0,0,0
107985818,0,0,0,0,0,0,0
107985819,0,0,0,0,0,0,0
107985820,0,0,0,0,0,0,0
129684,0.004088,0.007833,0,0,0.003109,0.003624,0
105373598,0,0,0,0,0,0,0
105373597,0,0,0.07537,0.01544,0,0.01674,0
105373600,0,0,0,0,0,0,0.07533
105373601,0,0,0,0,0,0,0
105373602,0,0,0,0,0,0,0
2995,39.46,23.02,14.23,30.64,30.85,44.35,13.23
105373603,0,0,0,0,0,0,0
101929926,0,0,0,0,0,0,0
105373604,0.02371,0.01136,0.005915,0,0.02254,0,0
274,27.66,25.08,7.238,11.67,19.04,30.74,4.692
105373605,0,0.04042,0.0421,0,0,0.05611,0
339761,2.023,1.854,0.08816,0.1445,0.9876,0.7284,0.1721
2071,14.53,14.08,10.53,9.52,12.02,11.94,8.554
10746,8.191,6.947,4.603,7.862,8.607,5.136,7.193
100506922,0.4287,0.4218,0.2659,0.7011,0.6168,0.8013,0.5582
5624,0.02016,0.1545,0.1811,0.04945,0.138,0.1609,0.04133
100616187,0,0,0,0,0,0,0
105373608,0.08135,0.1039,0.115,0.09977,0.1083,0.1202,0.132
55677,19.65,19.01,25.2,28.65,15.81,14.7,19.23
4648,0.36,0.2885,3.122,2.906,0.4032,0.5049,4.945
105373609,0,0,0,0.01772,0,0,0
101927834,0.6389,0.451,0.9395,0.7423,0.5114,0.8645,1.758
55679,8.051,5.787,1.887,8,10.79,15.35,5.076
