"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	577.906338365981	-0.157099351469542	0.379698397817152	-0.413747733392321	0.679058865293331	0.904987458403199
"MIR6859-1"	35.3676611775039	-0.693343195037165	0.56484331679821	-1.22749650109583	0.219636036085039	0.648460734051508
"WASH9P"	43.1189711454737	-0.0348272548553916	0.705899383852186	-0.0493374206750751	0.960650398430031	0.988921836435942
"LOC729737"	416.229281831335	-0.145899008386897	0.746190378998046	-0.195525180293539	0.844981827056445	0.95955397861548
"LOC102723897"	556.589308035277	-0.0157956855112119	0.266510933461533	-0.0592684334036592	0.952738303394758	0.987166321528857
"MIR6859-2"	15.1592517260502	-0.569013338120278	0.59817456345517	-0.951249639960531	0.341477664836075	0.741702037489251
"LOC112268260"	23.4350300628321	-1.18158280579968	0.956223602090102	-1.23567626151142	0.216578924811134	0.646221165625835
"LOC100132287"	379.374563813914	-0.523522889391861	0.632895378819023	-0.827187094285235	0.408131025395301	0.784012583333932
"MIR12136"	391.428086648168	0.0409344418926774	0.37799197802332	0.108294472561934	0.913762107087863	0.97868193781871
"OR4F16"	8.5695007297871	-1.01455601037693	0.930279138646719	-1.09059310074695	0.275451966722949	0.695819007736244
NA	362.712813599201	-0.699902120741062	0.521354962774673	-1.34246755227217	0.179444444377141	0.604300149833764
NA	157.982521062434	-0.595937917328546	0.647105979734669	-0.920927847974604	0.3570880982551	0.752955673164081
NA	217.651676977862	-0.904453591411595	0.713527830830985	-1.26757997702522	0.204947986124602	0.63333887524036
NA	51.4534616441319	-0.713812630516139	0.7867019848514	-0.907348200794195	0.364222692361799	0.758158942215993
"LOC100288069"	122.346758573107	-0.688165520132601	0.640222496223729	-1.07488494108167	0.282426244839311	0.701531081997824
"LINC01409"	43.8718417539211	-0.093840630832446	0.427322665850498	-0.219601341870494	0.826181646259184	0.95391766972442
"FAM87B"	17.0855013283844	-0.844588779026303	0.456663802699796	-1.84947607853544	0.0643890988641121	0.407387987861987
"LINC00115"	39.8928287692129	-0.327269512133215	0.488447129797525	-0.670020340315803	0.502844823850865	0.837597052690868
"LINC01128"	415.754641870179	-0.572041284492627	0.414551462522184	-1.37990415233915	0.167616157948144	0.589356168819817
"LOC284600"	123.788675666302	-1.06183051653415	0.917637203306664	-1.15713542640588	0.247217034834971	0.674690714065092
"LINC02593"	47.2161248732223	1.20643249982406	1.05641588285246	1.14200526459952	0.253451831373802	0.679190068580532
"LOC107985728"	58.3318626574626	0.803939493180148	0.98232381070956	0.818405788819717	0.413125517370694	0.786209559962465
"SAMD11"	366.990167075909	0.863471841076598	0.653522695935389	1.32125761882027	0.186415480091314	0.611050299827402
"NOC2L"	1141.00080403937	-0.12297746527451	0.25107197611506	-0.489809604311048	0.624268633818926	0.883784900960666
"KLHL17"	271.996588971312	0.605168968544869	0.340383044850499	1.77790573796256	0.0754193376763795	0.4359263506108
"PLEKHN1"	73.6934955716717	1.00438113794444	0.939526060217834	1.06902956764347	0.285056346392548	0.702381125397639
"PERM1"	21.9799827686816	2.58453422693882	1.04614816026507	2.47052408550234	0.0134915233362189	0.192329816556553
"HES4"	161.10611147052	1.22798912785829	0.443955570558415	2.76601806418085	0.00567453913522747	0.122520159262582
"ISG15"	1363.89321927251	3.17130104693376	0.431301693736166	7.35286017419097	1.94009862439102e-13	6.35317629533912e-10
"AGRN"	2426.1320834339	0.855351740795545	0.572104354178537	1.49509741456821	0.134889020545007	0.546055876507609
"LOC100288175"	13.7234745227509	1.63193734269946	1.02498545097222	1.59215659222434	0.111349523869922	0.506053017294438
NA	10.3863809284299	0.799383805305989	1.1553761804885	0.691881846627653	0.489011531730123	0.830001604650437
"LOC105378948"	18.2278869860871	0.908411871102936	0.628331035223105	1.44575362377315	0.148246317972084	0.565413049904342
"RNF223"	35.830325685304	1.73295104292691	1.71287346949989	1.0117215741761	0.311671197152186	0.718983456167315
"C1orf159"	197.518197797805	0.10493212389357	0.264975363223165	0.396007095215092	0.692099793991725	0.909529625797749
"MIR429"	6.9861575998	-1.55094246544583	1.38438078775193	-1.12031493008826	0.262579581982787	0.685700759215131
"TTLL10-AS1"	7.35722504203502	-1.73887059136849	0.991760014702517	-1.75331790512856	0.0795474537649173	0.444558334400143
"TTLL10"	13.9743565071727	-0.624198960852876	0.939163759169697	-0.66463271688073	0.506285438027521	0.838914444820703
"TNFRSF18"	164.387839125702	0.720511643249159	1.15680006698459	0.62284889482009	0.533383824004034	0.849394201204033
"TNFRSF4"	49.851572438197	1.03537645256737	0.615007647481405	1.68351801283687	0.0922748553389358	0.470620077161392
"SDF4"	5394.99718358092	0.874558069122831	0.208456872622101	4.1953909128641	2.72401367562552e-05	0.00340900768781467
"B3GALT6"	295.694541680569	0.311832674179094	0.321393609157521	0.970251633181226	0.331921079540532	0.734584116755187
"C1QTNF12"	17.4436402828272	0.598800882868533	0.892610912351168	0.670841992387557	0.50232119313637	0.837329838189819
"UBE2J2"	811.139415958771	0.221045526277736	0.172231647639297	1.28341991328254	0.199345001030786	0.627681182732833
"LINC01786"	25.4468838069266	-0.324216065969659	0.572909821214951	-0.565911167803171	0.571454169394755	0.865072325355656
"SCNN1D"	60.4209257035453	-0.215406119728992	0.496596062001656	-0.433765259556718	0.664458911505435	0.899482791021719
"ACAP3"	1294.58801987186	-0.166947609639252	0.23369084518379	-0.714395163866831	0.474982861594528	0.823279934377997
"SNORD167"	8.63884243715996	-0.405339357622797	0.66004774340444	-0.614106118342455	0.539145205457922	0.851605836227772
